word,hiragana,meaning
記念,きねん,"(noun) commemoration, memory"
きのう,きのう,(noun) yesterday
機能,きのう,"(noun) function, facility, faculty, feature"
きばん,きばん,"(noun) foundation, basis, base, footing"
寄付,きふ,"(noun) contribution, donation"
気分,きぶん,"(noun) feeling, mood"
希望,きぼう,"(noun) hope, wish, aspiration"
きほん,きほん,"(nouns) foundation, basis, standard"
君,きみ,"(nouns) you, buddy, pal, monarch, ruler, sovereign, (one's) master"
気味,きみ,"(noun) sensation, feeling"
~気味,~ぎみ,
きみょう,きみょう,"(noun) strange, queer, curious"
ぎむ,ぎむ,"(nouns) duty, obligation, responsibility"
気持ち,きもち,"(noun) feeling, sensation, mood"
着物,きもの,"(noun) clothing, clothes, kimono (or other trad. Japanese clothing)"
ぎもん,ぎもん,"(noun) question, problem, doubt, guess"
客,きゃく,"(noun) guest, visitor, customer, client, shopper, spectator, audience, tourist, sightseer, passenger"
客間,きゃくま,"(noun) parlor, parlour, guest room"
キャプテン,キャプテン,(noun) captain
ギャング,ギャング,"(noun) gang, gangster"
キャンパス,キャンパス,(noun) campus
キャンプ,キャンプ,(noun) camp
九,きゅう,(numeric) nine
旧,きゅう,"(prefix) ex-, former, old"
級,きゅう,"(noun,) class, grade, rank, school class, grade"
球,きゅう,"(noun) globe, sphere, ball"
きゅうか,きゅうか,"(noun) holiday, day off, furlough, absence (from work)"
休業,きゅうぎょう,"(noun) closed (e.g. store), business suspended, shutdown, holiday"
きゅうけい,きゅうけい,"(noun) rest, break, recess, intermission"
きゅうげき,きゅうげき,"(noun) sudden, precipitous, radical"
きゅうしゅう,きゅうしゅう,"(noun) absorption, suction, attraction"
救助,きゅうじょ,"(noun) relief, aid, rescue"
急速,きゅうそく,(noun) rapid (e.g. progress)
急に,きゅうに,"(adverb) swiftly, rapidly, suddenly, abruptly, immediately"
ぎゅうにゅう,ぎゅうにゅう,(noun) (cow's) milk
きゅうよ,きゅうよ,"(noun) pay, salary, wages, allowance, grant, supply"
給料,きゅうりょう,"(noun) salary, wages"
今日,きょう,"(noun) today, this day"
~教,~きょう,
~行,~ぎょう,
~業,~ぎょう,
強化,きょうか,"(noun) strengthen, intensify, reinforce, solidify, enhancement"
教会,きょうかい,(nouns) church
境界,きょうかい,(noun) boundary
教科書,きょうかしょ,"(noun) textbook, text book"
競技,きょうぎ,"(nouns) game, match, contest"
ぎょうぎ,ぎょうぎ,"(noun) manners, behavior, behaviour"
きょうきゅう,きょうきゅう,"(noun) supply, provision"
共産~,きょうさん~,
教師,きょうし,(nouns) teacher (classroom)
行事,ぎょうじ,"(noun) event, function"
教室,きょうしつ,(noun) classroom
きょうじゅ,きょうじゅ,"(nouns) professor, teaching, instruction"
きょうしゅく,きょうしゅく,"(noun) shame, very kind of you, sorry to trouble"
競争,きょうそう,"(nouns) competition, contest; (noun) to compete"
兄弟,きょうだい,"(noun) siblings, brothers and sisters"
きょうちょう,きょうちょう,"(noun) emphasis, highlight, stress, stressed point"
共通,きょうつう,"(noun) commonness, community; (noun,) -wide"
共同,きょうどう,"(nouns) doing together (as equals), sharing, common (land, etc.), joint (statement, etc.), cooperation, co-operation, collaboration, association"
きょうふ,きょうふ,"(noun) fear, dread, dismay, terror"
きょうみ,きょうみ,(noun) interest (in something)
きょうよう,きょうよう,"(nouns) culture, education, refinement, cultivation"
協力,きょうりょく,"(nouns) cooperation, collaboration"
強力,きょうりょく,"(noun) powerful, strong"
許可,きょか,"(noun) permission, approval, authorization"
漁業,ぎょぎょう,(nouns) fishing (industry)
局,きょく,"(noun,) channel (i.e. TV or radio), station, department, affair, situation"
きょだい,きょだい,"(noun) huge, gigantic, enormous"
きらい,きらい,"(noun) dislike, hate; (suffix) suspicion, tendency, smack (of)"
~きる,~きる,
切れ,きれ,"(noun) piece, slice, strip, scrap, cloth, sharpness; (counter) counter for scraps, pieces, etc."
~切れ,~きれ,
きれい,きれい,"(adjectival) pretty, lovely, beautiful, fair, clean, clear, pure, tidy, neat, completely, entirely"
切れる,きれる,"(intransitive) to cut well, to be sharp, to break (off), to snap, to wear out, to be injured, to burst, to collapse, to be disconnected, to be out of, to expire, to sever (connections) with, to be shrewd, to have a sharp mind, to drop under (a certain figure), to beat (e.g. a time), to flip, to lose one's temper; (auxiliary) to be able to do completely"
キロ,キロ,"(prefix) kilo-, kilogram, kilogramme, kilometre, kilometer, 10^3"
記録,きろく,"(noun) record, minutes, document, a record (e.g. in sports), results, score; (noun) to record, to document, to set a record (e.g. in sports), to show a result, to reach a value"
ぎろん,ぎろん,"(noun) argument, discussion, dispute, controversy"
気を付ける,きをつける,"(Expressions) to be careful, to pay attention, to take care"
銀,ぎん,"(nouns) silver, silver coin, silver paint; (noun) silver general (shogi)"
きんえん,きんえん,"(nouns) No Smoking!, Smoking Prohibited!; (noun) abstaining from smoking, quitting smoking"
金額,きんがく,(noun) amount of money
きんぎょ,きんぎょ,(noun) goldfish
金庫,きんこ,"(noun) safe, vault, treasury, provider of funds"
銀行,ぎんこう,(nouns) bank
禁止,きんし,"(noun) prohibition, inhibition, ban"
近所,きんじょ,"(nouns) neighbourhood, neighborhood"
きんせん,きんせん,"(nouns) money, cash"
きんぞく,きんぞく,(noun) metal
近代,きんだい,"(nouns) present day, modern times"
きんちょう,きんちょう,"(noun) tension, mental strain, nervousness"
きんにく,きんにく,"(nouns) muscle, sinew"
きんゆう,きんゆう,"(nouns) financing, credit transacting, loaning of money, circulation of money"
金曜,きんよう,(noun) Friday
具合,ぐあい,"(noun) condition, state, manner, health"
くいき,くいき,"(noun) limits, boundary, domain, zone, sphere, territory, area (e.g. in programming languages)"
空~,くう~,
空気,くうき,"(noun) air, atmosphere"
空港,くうこう,(noun) airport
空中,くうちゅう,"(noun) sky, air"
クーラー,クーラー,"(noun) cooler, air conditioner"
くぎ,くぎ,(noun) nail (i.e. small metal spike)
草,くさ,(noun) grass
くさい,くさい,"(adjective) stinking, smelly, suspicious, fishy, clumsy"
くし,くし,(noun) comb
くしゃみ,くしゃみ,(noun) sneeze
苦情,くじょう,"(noun) complaint, troubles, objection, grievance"
くず,くず,"(noun) waste, scrap, garbage, chad"
薬,くすり,"(noun) medicine, pharmaceuticals, (legal) drugs, efficacious chemical (i.e. gunpowder, pesticide, etc.), (pottery) glaze, small bribe"
くずれる,くずれる,"(intransitive) to collapse, to crumble"
管,くだ,"(noun,) pipe, tube"
具体,ぐたい,"(noun) concrete, tangible, material"
くだく,くだく,"(transitive) to break, to smash"
くだける,くだける,"(intransitive) to break, to be broken"
くたびれる,くたびれる,"(intransitive) to get tired, to wear out"
果物,くだもの,(noun) fruit
くだらない,くだらない,"(adjective) good-for-nothing, stupid, trivial, worthless"
下り,くだり,"(noun,) down-train (going away from Tokyo), down-slope, downward going"
口,くち,"(noun) mouth, opening, hole, gap, orifice, mouth (of a bottle), spout, nozzle, mouthpiece, gate, door, entrance, exit, speaking, speech, talk (i.e. gossip), taste, palate, mouth (to feed), opening (i.e. vacancy), available position, invitation, summons, kind, sort, type, opening (i.e. beginning); (counter) counter for mouthfuls, shares (of money), and swords"
~口,~くち,
くつ,くつ,"(noun) shoes, footwear"
くっつく,くっつく,"(Godan) to adhere to, to keep close to"
くっつける,くっつける,(Ichidan) to attach
ぐっすり,ぐっすり,"(adverb) sound asleep, fast asleep"
くどい,くどい,"(adjective) verbose, importunate, wordy, repetitious, long-winded, heavy (taste), gaudy, loud, greasy"
国,くに,"(noun) country, (the) state, region, province (of Japan), home (i.e. hometown, home country), land, earth"
首,くび,"(noun) head, mind, brain, intellect, top, hair (on one's head), bangs, fringe, top structural component of a kanji"
工夫,くふう,"(noun) scheme, device, scheming, devising, figuring out, coming up with, solving ingeniously, dedication to spiritual improvement (esp. through Zen meditation)"
くみ,くみ,"(noun) set (of items), group (of people), class (of students), company (esp. construction), family (i.e. mafia), team, typesetting, composition"
組合,くみあい,"(noun) association, union"
組合せ,くみあわせ,(noun) combination
くむ,くむ,"(Godan) to cross (legs or arms), to link (arms), to put together, to construct, to assemble, to produce (e.g. TV program), to braid, to plait, to grapple, to wrestle, to unite, to link up, to form an alliance, to set (e.g. type), to issue (e.g. money order)"
くむ,くむ,"(transitive) to draw (water), to ladle, to dip, to scoop, to pump, to have a drink together, to consider, to sympathize with, to sympathise with"
くむ,くむ,(transitive) to serve sake
雲,くも,(noun) cloud
位,くらい,"(suffix) throne, crown, (nobleman's) seat, government position, court rank, social standing, rank, class, echelon, rung; (noun) grade (of quality, etc.), level, tier, rank; (noun) digit (e.g. the tens, the hundreds, etc.), place, degree, extent, amount"
~くらい,~くらい,
くらし,くらし,"(noun) living, livelihood, subsistence, circumstances"
クラシック,クラシック,"(noun) classical music; (adjectival) classic, classical; (noun) (the) classics"
クラス,クラス,(noun) class
グラス,グラス,"(noun) glass, grass"
比べる,くらべる,"(transitive) to compare, to make a comparison, to compete, to vie"
グラム,グラム,"(noun) gram, gramme"
グランド,グランド,"(noun) gland, grand, ground (e.g. land, electrical, base material of textiles, etc.)"
クリーニング,クリーニング,"(noun) cleaning, dry cleaning, laundry service"
クリーム,クリーム,(noun) cream
くりかえす,くりかえす,"(intransitive) to repeat, to do something over again"
クリスマス,クリスマス,(noun) Christmas
グループ,グループ,(noun) group (usu. of people)
車,くるま,"(noun) car, automobile, vehicle, wheel"
くるむ,くるむ,"(transitive) to wrap up, to tuck in, to pack, to do up, to cover with, to dress in; (Godan) to conceal, to hide, to be engulfed in, to be enveloped by"
くれ,くれ,"(suffix) year end, sunset, nightfall, end"
くれぐれも,くれぐれも,"(adverb) repeatedly, sincerely, earnestly"
くれる,くれる,"(transitive) to give, to let one have, to do for one, to be given"
黒,くろ,"(noun) black, dark, bad guy, 'black hat'"
苦労,くろう,"(noun) troubles, hardships"
くわえる,くわえる,(transitive) to hold in one's mouth
くわしい,くわしい,"(adjective) knowing very well, detailed, full, accurate"
くん,くん,(noun) native Japanese reading (rendering) of a Chinese character
~君,~くん,
軍,ぐん,"(noun,) army, force, troops"
ぐんたい,ぐんたい,"(noun) army, troops"
訓練,くんれん,"(noun) practice, practise, training"
毛,け,"(noun) hair, fur"
下,げ,"(noun) below, down, under, bottom, beneath, underneath, just after, right after, inferiority, one's inferior (i.e. one's junior), younger (e.g. of siblings), trade-in; (noun,) preliminary, preparatory"
計,けい,"(noun,) plan, meter, measuring device; (prefix) (in) total, total (of)"
~形,~けい,
~型,~けい,
経営,けいえい,"(noun) management, administration"
計画,けいかく,"(noun) plan, project, schedule, scheme, program, programme"
けいかん,けいかん,(nouns) policeman
景気,けいき,"(noun) condition, state, business (condition)"
経験,けいけん,(noun) experience
けいこう,けいこう,"(noun) tendency, trend, inclination"
けいこく,けいこく,"(nouns) warning, advice"
けいざい,けいざい,"(noun) economics, business, finance, economy"
けいさつ,けいさつ,(nouns) police
計算,けいさん,"(noun) calculation, reckoning, count, forecast"
けいじ,けいじ,"(noun) notice, bulletin, post, posting, placard"
けいじ,けいじ,(noun) (police) detective; (noun) criminal matter
形式,けいしき,"(noun) form (as opposed to substance), formality, method, system, style, format, mode, appearance, form (something takes), math expression"
芸術,げいじゅつ,"(noun) (fine) art, the arts"
けいぞく,けいぞく,(nouns) continuation
けいと,けいと,(noun) knitting wool
けいど,けいど,(noun) longitude
芸能,げいのう,"(noun) public entertainment, accomplishments, attainments"
競馬,けいば,(nouns) horse racing
けいび,けいび,"(noun) defense, defence, guard, policing, security"
けいやく,けいやく,"(noun) contract, compact, agreement"
経由,けいゆ,"(noun) go by the way, via"
けいようどうし,けいようどうし,"(noun) na-adjective (adj-na), quasi-adjective, adjectival noun, nominal adjective"
ケーキ,ケーキ,(noun) cake
ケース,ケース,"(noun) case, Computer-Aided Software Engineering, CASE"
ゲーム,ゲーム,(noun) game
けが,けが,"(noun) injury (to animate object), hurt"
外科,げか,(nouns) surgical department
げき,げき,"(noun) drama, play, powerful drug"
げきじょう,げきじょう,"(nouns) theatre, theater, playhouse"
けしき,けしき,"(nouns) scenery, scene, landscape"
下車,げしゃ,"(noun) alighting (from train, bus, etc.), getting off"
げじゅん,げじゅん,(noun) month (last third of)
けしょう,けしょう,"(noun) make-up, cosmetics"
けち,けち,"(adjectival) stinginess, miserliness, penny-pinching, cheesparing, miser, pinchpenny, skinflint, cheapskate, tightwad, niggard, shabby, cheap, mangy, poor, petty, narrow-minded, quibbling, mean-spirited, bad luck, ill omen, glitch"
血液,けつえき,(noun) blood
結果,けっか,"(noun) result, consequence, outcome, effect; (noun) coming to fruition, bearing fruit"
けっかん,けっかん,"(noun) defect, fault, deficiency, deformity, shortage, gap"
結局,けっきょく,"(noun) after all, eventually, in the end"
結構,けっこう,"(noun) splendid, nice, wonderful, delicious, sweet; (adjectival) sufficient, fine (in the sense of ""I'm fine""), (by implication) no thank you; (adjectival) well enough, OK, tolerable; (adverb) reasonably, fairly, tolerably; (noun) construction, architecture"
けっこん,けっこん,(noun) marriage
決して,けっして,"(adverb) never, by no means, decidedly, indisputably"
決定,けってい,"(noun) decision, determination"
けつろん,けつろん,(nouns) conclusion
気配,けはい,"(noun) indication, sign, hint, presence, trend, quotation (esp. stock market)"
下品,げひん,(adjectival) inferior article
けむい,けむい,(adjective) smoky
けむり,けむり,"(noun) smoke, fumes"
ける,ける,"(transitive) to kick, to refuse, to reject"
県,けん,"(noun) prefecture (of Japan), county (of China)"
~けん,~けん,
現~,げん~,
げんいん,げんいん,"(noun) cause, origin, source"
見解,けんかい,"(noun) opinion, point of view"
限界,げんかい,"(nouns) limit, bound"
見学,けんがく,"(noun) inspection, study by observation, field trip"
げんかん,げんかん,"(nouns) entranceway, entry hall, vestibule, foyer"
元気,げんき,"(noun) health(y), robust, vigor, vigour, energy, vitality, vim, stamina, spirit, courage, pep"
研究,けんきゅう,"(noun) study, research, investigation"
現金,げんきん,"(noun) cash, ready money, mercenary, self-interested"
言語,げんご,(noun) language
けんこう,けんこう,"(noun) health, sound, wholesome"
げんこう,げんこう,"(noun) manuscript, copy"
検査,けんさ,"(noun) inspection (e.g. customs, factory), examination, scan (e.g. MRI, PET, etc.)"
現在,げんざい,"(noun) now, current, present, present time, as of"
げんし,げんし,"(nouns) origin, primeval"
現実,げんじつ,(noun) reality
けんしゅう,けんしゅう,"(noun) training (esp. in-service), induction course"
げんじゅう,げんじゅう,"(noun) strict, rigour, rigor, severe, firm, strong, secure"
現象,げんしょう,(noun) phenomenon
現状,げんじょう,"(nouns) present condition, existing state, status quo"
建設,けんせつ,"(noun) construction, establishment"
けんそん,けんそん,"(nouns) humble, humility, modesty"
現代,げんだい,"(noun) nowadays, modern era, modern times, present-day"
建築,けんちく,"(noun) construction, architecture"
限度,げんど,"(noun) limit, bounds"
けんとう,けんとう,"(noun) aim, mark, estimate, guess, approximation, direction"
けんとう,けんとう,"(noun) consideration, examination, investigation, study, scrutiny, discussion"
現場,げんば,"(nouns) actual spot, scene, scene of the crime"
けんぽう,けんぽう,(nouns) constitution
けんめい,けんめい,"(noun) eagerness, earnestness, risking one's life"
けんり,けんり,"(noun) right, privilege"
げんり,げんり,"(noun) principle, theory, fundamental truth"
げんりょう,げんりょう,(noun) raw materials
子,こ,"(noun,) child, young (animal), young woman, young geisha, offshoot, interest, new shares, bird egg; (noun,) (after a noun or -masu stem) -er (often of young women)"
小~,こ~,
~個,~こ,
~湖,~こ,
五,ご,(numeric) five
ご,ご,"(noun,) language, word"
~ご,~ご,
こい,こい,"(noun) love, tender passion"
こい,こい,"(adjective) deep (colour), dark, strong (flavour, smell, etc.), thick (consistency), dense, strong (possibility, etc.), thick (i.e. ""as thick as thieves""), close, deep (love, etc.)"
こいびと,こいびと,"(noun) lover, sweetheart"
こう,こう,"(transitive) to ask, to request, to invite"
高~,こう~,
~校,~こう,
~港,~こう,
~号,~ごう,
こういん,こういん,(noun) factory worker
強引,ごういん,"(noun) overbearing, coercive, pushy, forcible, high-handed"
こうえん,こうえん,(noun) (public) park
講演,こうえん,"(noun) lecture, address, speech"
効果,こうか,"(nouns) effect, effectiveness, efficacy, result"
こうか,こうか,(noun) coin
ごうか,ごうか,"(noun) wonderful, gorgeous, splendor, splendour, pomp, extravagance"
こうがい,こうがい,"(nouns) suburb, outskirts"
こうがい,こうがい,"(nouns) pollution, public nuisance, contamination"
合格,ごうかく,"(noun) success, passing (e.g. exam), eligibility"
こうかん,こうかん,"(noun) exchange, interchange, switching, reciprocity, barter, substitution, replacement, clearing (of checks, cheques)"
こうぎ,こうぎ,(noun) lecture
高級,こうきゅう,"(nouns) high class, high grade"
こうきょう,こうきょう,"(nouns) public, community, public service, society, communal"
工業,こうぎょう,(noun) (manufacturing) industry
航空,こうくう,"(nouns) aviation, flying"
光景,こうけい,"(noun) scene, spectacle"
工芸,こうげい,(nouns) industrial arts
合計,ごうけい,"(noun) sum total, total amount"
こうげき,こうげき,"(noun) attack, strike, offensive, criticism, censure"
こうけん,こうけん,"(noun) contribution, services"
こうこう,こうこう,(noun) filial piety
高校,こうこう,(noun) senior high school
広告,こうこく,(nouns) advertisement
こうさ,こうさ,"(nouns) crossing, intersection, (genetic) crossing over"
講師,こうし,(noun) lecturer
工事,こうじ,"(noun) construction work, construction, work (related to construction, e.g. painting, concrete-pouring, etc.)"
こうしき,こうしき,"(adjectival) formality, formal, official, formula"
こうして,こうして,(conjunction) thus
こうしゃ,こうしゃ,(noun) school building
工場,こうじょう,"(noun) factory, plant, mill, workshop"
こうすい,こうすい,(noun) perfume
こうせい,こうせい,"(noun) justice, fairness, impartiality"
構成,こうせい,"(nouns) organization, organisation, configuration, composition"
こうせき,こうせき,"(noun) achievements, merit, meritorious service, meritorious deed"
こうせん,こうせん,"(noun) beam, light ray"
こうそう,こうそう,"(nouns) multistory, multistoried, high-rise, high, tall"
構造,こうぞう,"(noun) structure, construction"
高速,こうそく,"(nouns) high speed, high gear, highway, freeway, expressway, motorway"
こうたい,こうたい,"(noun) alternation, change, relief, relay, shift, substitution (sports, etc.)"
こうち,こうち,(noun) arable land
交通,こうつう,"(noun) communication, transportation, traffic, intercourse"
高度,こうど,"(noun) altitude, height, advanced, high-grade, strong"
高等,こうとう,"(nouns) high class, high grade"
行動,こうどう,"(nouns) action, conduct, behaviour, behavior, mobilization, mobilisation"
ごうとう,ごうとう,"(noun) robber, mugger, robbery, burglary"
合同,ごうどう,"(noun) combination, incorporation, union, amalgamation, fusion, congruence"
こうはい,こうはい,(noun) junior (at work or school)
こうひょう,こうひょう,"(noun) official announcement, proclamation"
こうほ,こうほ,"(noun) candidate, contender, prospect, pick, choice, list, candidacy, candidature, nomination"
こうもく,こうもく,"(noun) (data) item, entry"
交流,こうりゅう,"(noun) intercourse, (cultural) exchange, intermingling, alternating current, AC"
声,こえ,(noun) voice
コース,コース,(noun) course
コーチ,コーチ,(noun) coach
コート,コート,"(noun) coat, court (i.e. tennis, basketball, etc.)"
コード,コード,"(noun) code, cord, chord"
コーラス,コーラス,(noun) chorus
氷,こおり,"(noun) ice, shaved ice (usually served with flavored simple syrup)"
ゴール,ゴール,(noun) goal
ごかい,ごかい,(noun) misunderstanding
こきゅう,こきゅう,"(nouns) breath, respiration, knack, trick, secret (of doing something)"
こきょう,こきょう,"(noun) home town, birthplace, old village, historic village, native place, one's old home"
~国,~こく,
国王,こくおう,(nouns) king
国語,こくご,"(noun) Japanese (language), national language, native Japanese words (as opposed to loanwords)"
国際,こくさい,(nouns) international
こくせき,こくせき,(noun) nationality
こくふく,こくふく,"(noun) subjugation, conquest, victory"
国民,こくみん,"(noun) nation, nationality, people, citizen"
国立,こくりつ,(nouns) national
ここ,ここ,"(noun) here (place physically close to the speaker, place pointed by the speaker while explaining), this place, these last (followed by a duration noun and a past sentence: time period before the present time of the speaker), these next ... (followed by a duration noun and a non past sentence: time period after the present time of the speaker), the next ..."
午後,ごご,"(noun) afternoon, p.m."
こごえる,こごえる,"(intransitive) to freeze, to be chilled, to be frozen"
九日,ここのか,"(noun) the ninth day of the month, nine days"
心,こころ,"(noun) mind, heart, spirit, the meaning of a phrase (riddle, etc.)"
こし,こし,"(noun) back, lower back, waist, hips, lumbar region, body (of hair, noodle, paper, etc.), resilience, spring"
こしょう,こしょう,"(noun) break-down, failure, fault, accident, out of order"
こしょう,こしょう,(nouns) pepper
こしらえる,こしらえる,"(transitive) to make, to manufacture"
個人,こじん,"(nouns) individual, private person, personal, private"
こする,こする,"(Godan) to touch lightly, to take a percentage (from)"
午前,ごぜん,"(noun) morning, a.m."
ごぞんじですか,ごぞんじですか,
答,こたえ,"(noun) response, reply, answer, solution"
こたえる,こたえる,"(intransitive) to answer, to reply"
ごちそう,ごちそう,"(noun) feast, treating (someone); (noun) to treat (someone, e.g. to a meal)"
ごちそうさま,ごちそうさま,"(interjection) word used after one has been treated (esp. used after a meal), used after hearing something lovey-dovey"
こちら,こちら,"(noun) this way (direction close to the speaker or towards the speaker), this direction, here (place close to the speaker or where the speaker is), this one (something physically close to the speaker); (nouns) I, me, this person (someone physically close to the speaker and of equal or higher status)"
こっち,こっち,"(noun) this way (direction close to the speaker or towards the speaker), this direction, here (place close to the speaker or where the speaker is), this one (something physically close to the speaker); (nouns) I, me, this person (someone physically close to the speaker and of equal or higher status)"
こちらこそ,こちらこそ,(Expressions) it is I who should say so
国家,こっか,"(noun) state, country, nation"
国会,こっかい,"(nouns) National Diet, parliament, congress"
国境,こっきょう,(nouns) national or state border
コック,コック,"(noun) cook, tap, spigot, faucet, cock, cock (male fowl), cock (penis)"
こっそり,こっそり,"(adverb) stealthily, secretly"
コップ,コップ,"(noun) glass (i.e. drinking vessel), tumbler, cop (police officer)"
こてん,こてん,"(nouns) old book, classics, classic"
事,こと,"(noun) thing, matter, fact, circumstances, business, reason, experience"
こと,こと,"(noun) koto (13-stringed Japanese zither), stringed instrument, zheng (Chinese zither), guzheng"
~毎,~ごと,
~ごと,（まるごと）,
今年,ことし,(noun) this year
言付ける,ことづける,"(transitive) to tell (to do), to order, to charge, to direct, to tell on (someone), to report, to often say"
言葉,ことば,"(noun) language, dialect, word, words, phrase, term, expression, remark, speech, (manner of) speaking"
こども,こども,"(noun) child, children"
ことわざ,ことわざ,"(noun) proverb, maxim"
この,この,(numeric) nine
このあいだ,このあいだ,"(adverbial) the other day, lately, recently, during this period, meanwhile, in the meantime"
こないだ,こないだ,"(noun) the other day, lately, recently"
このごろ,このごろ,"(noun) recently, nowadays, these days"
好み,このみ,"(noun) liking, taste, choice"
コピー,コピー,"(noun) copy, photocopy, blurb on a book jacket, catch copy"
ごぶさた,ごぶさた,"(noun) not writing or contacting for a while, neglecting (failing) to write (call, visit, etc.), long silence"
こぼす,こぼす,"(transitive) to spill, to grumble"
こぼれる,こぼれる,"(intransitive) to spill, to fall out of, to overflow, to peek through, to become visible (although normally not), to escape (of a smile, tear, etc.)"
細かい,こまかい,"(adjective) small, fine, minute, minor, trivial, sensitive, attentive"
ごみ,ごみ,"(noun) rubbish, trash, garbage, refuse"
~こむ,~こむ,
ゴム,ゴム,"(nouns) gum, rubber, eraser, condom"
米,こめ,"(noun) metre, meter, meter (i.e. a gauge), gauge"
ごめん,ごめん,"(noun) your pardon, declining (something), dismissal, permission"
ごめんください,ごめんください,(Expressions) may I come in?
ごめんなさい,ごめんなさい,"(Expressions) I beg your pardon, excuse me"
小屋,こや,"(noun) hut, cabin, shed, (animal) pen"
ごらく,ごらく,"(nouns) pleasure, amusement"
これ,これ,"(pronoun) this (indicating an item near the speaker, the action of the speaker, or the current topic), this person (usu. indicating someone in one's in-group), now, here, I (me), certainly"
コレクション,コレクション,"(noun) collection, correction"
これら,これら,(nouns) these
ころ,ころ,"(noun,) (approximate) time, around, about, toward, suitable time (or condition), time of year, season"
殺す,ころす,(transitive) to kill
こん,こん,"(noun) navy blue, deep blue"
今~,こん~,
今回,こんかい,"(noun) now, this time, lately"
コンクール,コンクール,(noun) contest
コンクリート,コンクリート,(noun) concrete
今後,こんご,"(noun) from now on, hereafter"
コンサート,コンサート,(noun) concert
コンセント,コンセント,"(noun) electrical outlet (concentric plug), consent, concentric"
今度,こんど,"(noun) now, this time, next time, another time"
こんな,こんな,"(pre-noun) such (about something/someone close to the speaker (including the speaker), or about ideas expressed by the speaker), like this"
こんなに,こんなに,"(adverb) so, like this, in this way"
こんなん,こんなん,"(noun) difficulty, distress"
こんにちは,こんにちは,"(interjection) hello, good day (daytime greeting)"
こんばんは,こんばんは,(Expressions) good evening
コンピューター,コンピューター,(noun) computer
こんらん,こんらん,"(noun) disorder, chaos, confusion, mayhem"
差,さ,"(noun,) difference, variation"
さあ,さあ,"(interjection) come, come now"
サークル,サークル,"(noun) circle, club (e.g. company sports club)"
サービス,サービス,"(nouns) service, support system, goods or services without charge"
際,さい,"(noun) edge, brink, verge, side"
再~,さい~,
最~,さい~,
~さい,~さい,
~祭,~さい,
在学,ざいがく,(noun) (enrolled) in school
最近,さいきん,"(noun) latest, most recent, nowadays"
最後,さいご,"(noun) last, end, conclusion; (Expressions) (after -tara form or -ta form followed by ""ga"") no sooner than, right after (often having negative consequences), one's final moments"
最高,さいこう,"(nouns) highest, supreme, the most"
再三,さいさん,"(noun) again and again, repeatedly"
財産,ざいさん,"(noun) property, fortune, assets"
祭日,さいじつ,"(nouns) national holiday, festival day"
最終,さいしゅう,"(nouns) last, final, closing"
最初,さいしょ,"(noun) beginning, outset, first, onset"
さいちゅう,さいちゅう,"(noun) in the middle of, height of, in course of, midst"
最低,さいてい,"(nouns) least, lowest, worst, nasty, disgusting, horrible, yuck!"
さいてん,さいてん,"(noun) marking, grading, looking over"
才能,さいのう,"(noun) talent, ability"
さいばん,さいばん,"(nouns) trial, judgement, judgment"
さいふ,さいふ,"(noun) purse, handbag, wallet"
さいほう,さいほう,(noun) sewing
材料,ざいりょう,"(noun) ingredients, material"
サイレン,サイレン,(nouns) siren
サイン,サイン,"(noun) autograph, signature; (noun) sign; (noun) sine"
坂,さか,"(noun) slope, hill"
境,さかい,"(noun) border, boundary, mental state"
逆様,さかさま,"(nouns) inversion, upside down"
さかのぼる,さかのぼる,"(intransitive) to go back, to go upstream, to make retroactive"
さかり,さかり,"(suffix) peak (e.g. of cherry blossom season), height (e.g. of summer), prime (of one's life), one's best days, rutting, being in heat"
さかん,さかん,"(adjectival) popular, prosperous, enthusiastic, energetic, vigorous"
先,さき,"(prefix) previous, prior, former, some time ago, preceding, point (e.g. pencil), tip, end, nozzle, head (of a line), front, ahead, the other side, the future, hereafter, destination, the other party"
さきおととい,さきおととい,"(noun) two days before yesterday, three days back (ago)"
先程,さきほど,(noun) some time ago
作業,さぎょう,"(noun) work, operation, manufacturing, fatigue duty"
さく,さく,(intransitive) to bloom
さく,さく,"(transitive) to tear, to rip up, to cut up, to cleave, to cut open (esp. the abdomen), to forcibly separate (i.e. two lovers), to spare (time, money, etc.), to use part of something, to have a tattoo in the corner of one's eye"
昨,さく,"(prefix) last (year), yesterday"
作者,さくしゃ,"(noun) author, authoress"
作成,さくせい,"(noun) framing, drawing up, making, producing, creating, creation, preparing, writing"
さくせい,さくせい,(noun) manufacture
作品,さくひん,"(noun) work (e.g. book, film, composition, etc.), opus, performance, production"
作文,さくぶん,"(noun) writing (an essay, prose, etc.), composition, formal writing with little real meaning"
作物,さくもつ,(noun) literary work
さくら,さくら,"(noun) cherry tree, cherry blossom, decoy, fake buyer, shill, hired applauder, horse meat"
酒,さけ,"(noun) alcohol, sake"
さける,さける,"(transitive) to avoid (physical contact with); (transitive) to avoid (situation); (Ichidan) to ward off, to avert"
下げる,さげる,"(transitive) to hang, to lower, to move back, to wear, to dismiss, to grant"
支える,ささえる,"(transitive) to support, to prop, to sustain, to underlay, to hold up, to hold at bay, to stem, to check"
ささやく,ささやく,"(intransitive) to whisper, to murmur"
さす,さす,"(transitive) to insert, to put in, to graft, to wear in belt"
